cell_type,flow,flow_drop,reachable_pairs,pairs_lost,intact_flow,intact_reachable_pairs
IN23B005,10630,17,237405,0,10647,237405
IN23B020,10630,17,237405,0,10647,237405
ENS5,10631,16,236740,665,10647,237405
GNG642,10631,16,236740,665,10647,237405
JO-CA2,10631,16,236740,665,10647,237405
LgLG4,10631,16,236740,665,10647,237405
ORN_V,10631,16,236740,665,10647,237405
ORN_VL1,10631,16,236740,665,10647,237405
ORN_VM5d,10631,16,236740,665,10647,237405
PhG10,10631,16,236740,665,10647,237405
SNpp11,10631,16,236740,665,10647,237405
SNta35,10631,16,236740,665,10647,237405
dorsal_tpGRN,10631,16,236740,665,10647,237405
DNge122,10631,16,237048,357,10647,237405
ALBN1,10631,16,237405,0,10647,237405
AN09B029,10631,16,237405,0,10647,237405
IN05B028,10631,16,237405,0,10647,237405
IN23B006,10631,16,237405,0,10647,237405
IN23B031,10631,16,237405,0,10647,237405
M_l2PNl20,10631,16,237405,0,10647,237405
lLN2X11,10631,16,237405,0,10647,237405
v2LN3A1_b,10631,16,237405,0,10647,237405
vLN24,10631,16,237405,0,10647,237405
LB1b,10632,15,236740,665,10647,237405
LB2c,10632,15,236740,665,10647,237405
LgAG9,10632,15,236740,665,10647,237405
ORN_VA1d,10632,15,236740,665,10647,237405
PhG11,10632,15,236740,665,10647,237405
PhG8,10632,15,236740,665,10647,237405
R7_unclear,10632,15,236740,665,10647,237405
SNpp04,10632,15,236740,665,10647,237405
SNpp12,10632,15,236740,665,10647,237405
SNpp57,10632,15,236740,665,10647,237405
SNta44,10632,15,236740,665,10647,237405
WG1,10632,15,236740,665,10647,237405
DNge104,10632,15,237048,357,10647,237405
AN09B036,10632,15,237405,0,10647,237405
AN17B005,10632,15,237405,0,10647,237405
AN23B001,10632,15,237405,0,10647,237405
ANXXX027,10632,15,237405,0,10647,237405
GNG016,10632,15,237405,0,10647,237405
IN14A013,10632,15,237405,0,10647,237405
IN23B037,10632,15,237405,0,10647,237405
INXXX216,10632,15,237405,0,10647,237405
lLN12A,10632,15,237405,0,10647,237405
BM_MaPa,10633,14,236740,665,10647,237405
GNG654,10633,14,236740,665,10647,237405
HRN_VP5,10633,14,236740,665,10647,237405
JO-B1_c,10633,14,236740,665,10647,237405
JO-B2,10633,14,236740,665,10647,237405
LB4b,10633,14,236740,665,10647,237405
ORN_VC5,10633,14,236740,665,10647,237405
PhG14,10633,14,236740,665,10647,237405
PhG4,10633,14,236740,665,10647,237405
SNpp06,10633,14,236740,665,10647,237405
SNpp56,10633,14,236740,665,10647,237405
SNta32,10633,14,236740,665,10647,237405
SNxx22,10633,14,236740,665,10647,237405
SNxx24,10633,14,236740,665,10647,237405
AN09B013,10633,14,237405,0,10647,237405
AN09B023,10633,14,237405,0,10647,237405
AN17A004,10633,14,237405,0,10647,237405
GNG551,10633,14,237405,0,10647,237405
IN06B003,10633,14,237405,0,10647,237405
IN09A022,10633,14,237405,0,10647,237405
IN11A025,10633,14,237405,0,10647,237405
IN23B046,10633,14,237405,0,10647,237405
INXXX007,10633,14,237405,0,10647,237405
INXXX027,10633,14,237405,0,10647,237405
INXXX044,10633,14,237405,0,10647,237405
M_lvPNm25,10633,14,237405,0,10647,237405
JO-CA1,10634,13,236740,665,10647,237405
JO-unclear,10634,13,236740,665,10647,237405
LgAG8,10634,13,236740,665,10647,237405
LgLG6,10634,13,236740,665,10647,237405
ORN_DA2,10634,13,236740,665,10647,237405
ORN_DC3,10634,13,236740,665,10647,237405
ORN_DM2,10634,13,236740,665,10647,237405
PhG16,10634,13,236740,665,10647,237405
R7d,10634,13,236740,665,10647,237405
SNpp08,10634,13,236740,665,10647,237405
SNpp15,10634,13,236740,665,10647,237405
SNpp18,10634,13,236740,665,10647,237405
SNxx06,10634,13,236740,665,10647,237405
DNg20,10634,13,237048,357,10647,237405
DNg29,10634,13,237048,357,10647,237405
DNge121,10634,13,237048,357,10647,237405
AN06B089,10634,13,237405,0,10647,237405
AN17A003,10634,13,237405,0,10647,237405
AN17A018,10634,13,237405,0,10647,237405
GNG301,10634,13,237405,0,10647,237405
IN01A027,10634,13,237405,0,10647,237405
IN06B027,10634,13,237405,0,10647,237405
IN14A004,10634,13,237405,0,10647,237405
IN17A023,10634,13,237405,0,10647,237405
INXXX004,10634,13,237405,0,10647,237405
v2LN3A,10634,13,237405,0,10647,237405
vLN25,10634,13,237405,0,10647,237405
ENS1,10635,12,236740,665,10647,237405
ENS3,10635,12,236740,665,10647,237405
ORN_DC2,10635,12,236740,665,10647,237405
ORN_VC4,10635,12,236740,665,10647,237405
ORN_VM4,10635,12,236740,665,10647,237405
PhG13,10635,12,236740,665,10647,237405
SNpp37,10635,12,236740,665,10647,237405
SNpp61,10635,12,236740,665,10647,237405
SNxx10,10635,12,236740,665,10647,237405
DNg87,10635,12,237048,357,10647,237405
b2 MN,10635,12,237048,357,10647,237405
AN01A021,10635,12,237405,0,10647,237405
AN08B010,10635,12,237405,0,10647,237405
AN09B018,10635,12,237405,0,10647,237405
AN09B020,10635,12,237405,0,10647,237405
AN17B016,10635,12,237405,0,10647,237405
ANXXX092,10635,12,237405,0,10647,237405
GNG152,10635,12,237405,0,10647,237405
GNG195,10635,12,237405,0,10647,237405
GNG453,10635,12,237405,0,10647,237405
IN01A048,10635,12,237405,0,10647,237405
IN06B077,10635,12,237405,0,10647,237405
IN08A017,10635,12,237405,0,10647,237405
IN10B030,10635,12,237405,0,10647,237405
IN12A005,10635,12,237405,0,10647,237405
IN12B007,10635,12,237405,0,10647,237405
IN13A004,10635,12,237405,0,10647,237405
IN13A007,10635,12,237405,0,10647,237405
IN13A024,10635,12,237405,0,10647,237405
IN13A029,10635,12,237405,0,10647,237405
IN17B001,10635,12,237405,0,10647,237405
IN17B003,10635,12,237405,0,10647,237405
IN17B004,10635,12,237405,0,10647,237405
IN17B015,10635,12,237405,0,10647,237405
IN23B023,10635,12,237405,0,10647,237405
IN23B060,10635,12,237405,0,10647,237405
IN23B070,10635,12,237405,0,10647,237405
LN60,10635,12,237405,0,10647,237405
PRW064,10635,12,237405,0,10647,237405
SAD113,10635,12,237405,0,10647,237405
lLN2R_a,10635,12,237405,0,10647,237405
lLN2X12,10635,12,237405,0,10647,237405
LB1a,10636,11,236740,665,10647,237405
LgLG2,10636,11,236740,665,10647,237405
ORN_DL1,10636,11,236740,665,10647,237405
ORN_VM7v,10636,11,236740,665,10647,237405
R7p,10636,11,236740,665,10647,237405
R7y,10636,11,236740,665,10647,237405
R8_unclear,10636,11,236740,665,10647,237405
R8p,10636,11,236740,665,10647,237405
SNpp09,10636,11,236740,665,10647,237405
SNpp21,10636,11,236740,665,10647,237405
SNta10,10636,11,236740,665,10647,237405
SNxx09,10636,11,236740,665,10647,237405
SNxx31,10636,11,236740,665,10647,237405
DNg57,10636,11,237048,357,10647,237405
b1 MN,10636,11,237048,357,10647,237405
AN05B004,10636,11,237405,0,10647,237405
AN05B096,10636,11,237405,0,10647,237405
AN12B004,10636,11,237405,0,10647,237405
AN13B002,10636,11,237405,0,10647,237405
AN17A024,10636,11,237405,0,10647,237405
AN17A076,10636,11,237405,0,10647,237405
AN27X020,10636,11,237405,0,10647,237405
ANXXX041,10636,11,237405,0,10647,237405
CB0758,10636,11,237405,0,10647,237405
GNG636,10636,11,237405,0,10647,237405
IN01A031,10636,11,237405,0,10647,237405
IN01B020,10636,11,237405,0,10647,237405
IN05B011b,10636,11,237405,0,10647,237405
IN14A011,10636,11,237405,0,10647,237405
IN23B024,10636,11,237405,0,10647,237405
IN23B030,10636,11,237405,0,10647,237405
M_l2PNm14,10636,11,237405,0,10647,237405
HRN_VP1l,10637,10,236740,665,10647,237405
LN-DN1,10637,10,236740,665,10647,237405
ORN_DM4,10637,10,236740,665,10647,237405
ORN_DM6,10637,10,236740,665,10647,237405
ORN_VA3,10637,10,236740,665,10647,237405
PhG15,10637,10,236740,665,10647,237405
PhG5,10637,10,236740,665,10647,237405
PhG6,10637,10,236740,665,10647,237405
R8y,10637,10,236740,665,10647,237405
"SApp23,SNpp56",10637,10,236740,665,10647,237405
SNta45,10637,10,236740,665,10647,237405
SNxx01,10637,10,236740,665,10647,237405
ALIN5,10637,10,237405,0,10647,237405
AMMC028,10637,10,237405,0,10647,237405
AN05B062,10637,10,237405,0,10647,237405
AN05B076,10637,10,237405,0,10647,237405
AN09B007,10637,10,237405,0,10647,237405
AN09B014,10637,10,237405,0,10647,237405
AN17A031,10637,10,237405,0,10647,237405
ANXXX026,10637,10,237405,0,10647,237405
ANXXX057,10637,10,237405,0,10647,237405
ANXXX170,10637,10,237405,0,10647,237405
ANXXX178,10637,10,237405,0,10647,237405
ANXXX434,10637,10,237405,0,10647,237405
CB1076,10637,10,237405,0,10647,237405
CB3588,10637,10,237405,0,10647,237405
CB3743,10637,10,237405,0,10647,237405
GNG078,10637,10,237405,0,10647,237405
GNG257,10637,10,237405,0,10647,237405
IN01A007,10637,10,237405,0,10647,237405
IN01B065,10637,10,237405,0,10647,237405
IN03B049,10637,10,237405,0,10647,237405
IN04B100,10637,10,237405,0,10647,237405
IN06B035,10637,10,237405,0,10647,237405
IN08B017,10637,10,237405,0,10647,237405
IN09A024,10637,10,237405,0,10647,237405
IN10B023,10637,10,237405,0,10647,237405
IN13B013,10637,10,237405,0,10647,237405
IN13B026,10637,10,237405,0,10647,237405
IN20A.22A007,10637,10,237405,0,10647,237405
IN23B017,10637,10,237405,0,10647,237405
IN23B039,10637,10,237405,0,10647,237405
IN23B047,10637,10,237405,0,10647,237405
IN23B049,10637,10,237405,0,10647,237405
IN23B067_c,10637,10,237405,0,10647,237405
IN23B074,10637,10,237405,0,10647,237405
INXXX133,10637,10,237405,0,10647,237405
INXXX224,10637,10,237405,0,10647,237405
M_adPNm5,10637,10,237405,0,10647,237405
M_lvPNm46,10637,10,237405,0,10647,237405
PRW049,10637,10,237405,0,10647,237405
SAD107,10637,10,237405,0,10647,237405
SAD111,10637,10,237405,0,10647,237405
SAD112_c,10637,10,237405,0,10647,237405
lLN15,10637,10,237405,0,10647,237405
AMMC029,10638,9,236740,665,10647,237405
JO-B4_a,10638,9,236740,665,10647,237405
LB2b,10638,9,236740,665,10647,237405
LB4a,10638,9,236740,665,10647,237405
LN-DN2,10638,9,236740,665,10647,237405
LgAG6,10638,9,236740,665,10647,237405
LgLG8,10638,9,236740,665,10647,237405
PhG3,10638,9,236740,665,10647,237405
PhG7,10638,9,236740,665,10647,237405
SApp21,10638,9,236740,665,10647,237405
SNpp14,10638,9,236740,665,10647,237405
SNpp44,10638,9,236740,665,10647,237405
SNpp48,10638,9,236740,665,10647,237405
SNpp59,10638,9,236740,665,10647,237405
SNta19,10638,9,236740,665,10647,237405
"SNxx27,SNxx29",10638,9,236740,665,10647,237405
DNg67,10638,9,237048,357,10647,237405
DNge132,10638,9,237048,357,10647,237405
tpn MN,10638,9,237048,357,10647,237405
ALIN7,10638,9,237405,0,10647,237405
AN05B024,10638,9,237405,0,10647,237405
AN05B107,10638,9,237405,0,10647,237405
AN06B031,10638,9,237405,0,10647,237405
AN09B032,10638,9,237405,0,10647,237405
AN09B035,10638,9,237405,0,10647,237405
AN17B007,10638,9,237405,0,10647,237405
AN23B010,10638,9,237405,0,10647,237405
ANXXX086,10638,9,237405,0,10647,237405
ANXXX404,10638,9,237405,0,10647,237405
CB0598,10638,9,237405,0,10647,237405
CB1048,10638,9,237405,0,10647,237405
CB1824,10638,9,237405,0,10647,237405
CB2153,10638,9,237405,0,10647,237405
CB3581,10638,9,237405,0,10647,237405
CB4176,10638,9,237405,0,10647,237405
GNG022,10638,9,237405,0,10647,237405
GNG097,10638,9,237405,0,10647,237405
GNG175,10638,9,237405,0,10647,237405
GNG397,10638,9,237405,0,10647,237405
GNG406,10638,9,237405,0,10647,237405
IN00A014,10638,9,237405,0,10647,237405
IN01A011,10638,9,237405,0,10647,237405
IN01A012,10638,9,237405,0,10647,237405
IN01A065,10638,9,237405,0,10647,237405
IN01B017,10638,9,237405,0,10647,237405
IN01B042,10638,9,237405,0,10647,237405
IN01B074,10638,9,237405,0,10647,237405
IN01B090,10638,9,237405,0,10647,237405
IN05B011a,10638,9,237405,0,10647,237405
IN09A019,10638,9,237405,0,10647,237405
IN09A092,10638,9,237405,0,10647,237405
IN11A014,10638,9,237405,0,10647,237405
IN12B004,10638,9,237405,0,10647,237405
IN13A022,10638,9,237405,0,10647,237405
IN13B014,10638,9,237405,0,10647,237405
IN13B025,10638,9,237405,0,10647,237405
IN13B054,10638,9,237405,0,10647,237405
IN14A008,10638,9,237405,0,10647,237405
IN14A015,10638,9,237405,0,10647,237405
IN14A028,10638,9,237405,0,10647,237405
IN17A013,10638,9,237405,0,10647,237405
"IN19B045,IN19B052",10638,9,237405,0,10647,237405
IN23B007,10638,9,237405,0,10647,237405
IN23B025,10638,9,237405,0,10647,237405
IN23B032,10638,9,237405,0,10647,237405
INXXX100,10638,9,237405,0,10647,237405
INXXX400,10638,9,237405,0,10647,237405
M_l2PNl21,10638,9,237405,0,10647,237405
M_lvPNm24,10638,9,237405,0,10647,237405
M_vPNml53,10638,9,237405,0,10647,237405
SAD112_a,10638,9,237405,0,10647,237405
VP2+Z_lvPN,10638,9,237405,0,10647,237405
lLN2P_b,10638,9,237405,0,10647,237405
CB4246,10639,8,236740,665,10647,237405
HBeyelet,10639,8,236740,665,10647,237405
JO-B1_b,10639,8,236740,665,10647,237405
LgLG5,10639,8,236740,665,10647,237405
ORN_VC3,10639,8,236740,665,10647,237405
PhG1a,10639,8,236740,665,10647,237405
SNpp36,10639,8,236740,665,10647,237405
SNpp53,10639,8,236740,665,10647,237405
SNta06,10639,8,236740,665,10647,237405
DNg15,10639,8,237048,357,10647,237405
DNg48,10639,8,237048,357,10647,237405
DNg84,10639,8,237048,357,10647,237405
DNg85,10639,8,237048,357,10647,237405
i1 MN,10639,8,237048,357,10647,237405
AMMC032,10639,8,237405,0,10647,237405
AMMC034_b,10639,8,237405,0,10647,237405
AN05B023a,10639,8,237405,0,10647,237405
AN06B039,10639,8,237405,0,10647,237405
AN08B007,10639,8,237405,0,10647,237405
AN08B018,10639,8,237405,0,10647,237405
AN09B021,10639,8,237405,0,10647,237405
AN09B033,10639,8,237405,0,10647,237405
AN12B001,10639,8,237405,0,10647,237405
AN17A013,10639,8,237405,0,10647,237405
AN23B002,10639,8,237405,0,10647,237405
AN27X021,10639,8,237405,0,10647,237405
ANXXX024,10639,8,237405,0,10647,237405
CB2521,10639,8,237405,0,10647,237405
CB2558,10639,8,237405,0,10647,237405
Dm9,10639,8,237405,0,10647,237405
GNG037,10639,8,237405,0,10647,237405
GNG141,10639,8,237405,0,10647,237405
GNG217,10639,8,237405,0,10647,237405
GNG252,10639,8,237405,0,10647,237405
GNG446,10639,8,237405,0,10647,237405
GNG510,10639,8,237405,0,10647,237405
GNG610,10639,8,237405,0,10647,237405
IN00A003,10639,8,237405,0,10647,237405
IN00A012,10639,8,237405,0,10647,237405
IN01A024,10639,8,237405,0,10647,237405
IN01B007,10639,8,237405,0,10647,237405
IN01B010,10639,8,237405,0,10647,237405
IN01B025,10639,8,237405,0,10647,237405
IN01B027_a,10639,8,237405,0,10647,237405
IN03B046,10639,8,237405,0,10647,237405
IN04B011,10639,8,237405,0,10647,237405
IN04B036,10639,8,237405,0,10647,237405
IN04B044,10639,8,237405,0,10647,237405
IN05B010,10639,8,237405,0,10647,237405
IN05B016,10639,8,237405,0,10647,237405
IN06A021,10639,8,237405,0,10647,237405
IN06B016,10639,8,237405,0,10647,237405
IN06B028,10639,8,237405,0,10647,237405
IN06B070,10639,8,237405,0,10647,237405
IN09B014,10639,8,237405,0,10647,237405
IN10B033,10639,8,237405,0,10647,237405
IN10B052,10639,8,237405,0,10647,237405
IN11A022,10639,8,237405,0,10647,237405
IN12A006,10639,8,237405,0,10647,237405
IN12A007,10639,8,237405,0,10647,237405
IN12B011,10639,8,237405,0,10647,237405
IN12B016,10639,8,237405,0,10647,237405
IN12B036,10639,8,237405,0,10647,237405
IN13A015,10639,8,237405,0,10647,237405
IN13B027,10639,8,237405,0,10647,237405
IN14A024,10639,8,237405,0,10647,237405
IN14A109,10639,8,237405,0,10647,237405
IN16B048,10639,8,237405,0,10647,237405
"IN17A059,IN17A063",10639,8,237405,0,10647,237405
IN17A077,10639,8,237405,0,10647,237405
"IN17A080,IN17A083",10639,8,237405,0,10647,237405
IN17A099,10639,8,237405,0,10647,237405
IN17B006,10639,8,237405,0,10647,237405
IN19B062,10639,8,237405,0,10647,237405
IN19B072,10639,8,237405,0,10647,237405
IN20A.22A054,10639,8,237405,0,10647,237405
IN23B009,10639,8,237405,0,10647,237405
IN23B012,10639,8,237405,0,10647,237405
IN23B013,10639,8,237405,0,10647,237405
IN23B014,10639,8,237405,0,10647,237405
