strategy,trial,batch,fraction_removed,flow,reachable_pairs,avalanche
pagerank,0,60,0.45494,1740,57165,0
pagerank,0,61,0.460471,1720,57165,2
pagerank,0,62,0.465918,1677,55929,3
pagerank,0,63,0.471279,1641,54774,0
pagerank,0,64,0.47664,1584,53631,0
pagerank,0,65,0.481916,1569,53631,0
pagerank,0,66,0.487107,1499,51772,0
pagerank,0,67,0.492299,1454,50700,1
pagerank,0,68,0.497404,1431,49800,0
pagerank,0,69,0.50251,1409,49500,3
out_strength,0,0,0,10647,237405,
out_strength,0,1,0.0100417,10237,234080,1
out_strength,0,2,0.0199983,7363,211152,7
out_strength,0,3,0.0298698,6287,197276,4
out_strength,0,4,0.0395711,5445,181332,2
out_strength,0,5,0.0491873,4686,166793,10
out_strength,0,6,0.0587184,4218,155364,2
out_strength,0,7,0.0681644,4014,150654,5
out_strength,0,8,0.0775253,3701,143520,10
out_strength,0,9,0.0868011,3550,138825,1
out_strength,0,10,0.0959918,3273,129983,2
out_strength,0,11,0.105097,3081,125457,5
out_strength,0,12,0.114118,2991,120593,14
out_strength,0,13,0.123053,2822,115464,8
out_strength,0,14,0.131904,2660,109926,6
out_strength,0,15,0.140669,2412,103740,6
out_strength,0,16,0.149264,2253,99360,0
out_strength,0,17,0.157774,2192,97006,3
out_strength,0,18,0.166199,2116,93094,6
out_strength,0,19,0.174538,1986,88749,3
out_strength,0,20,0.182793,1867,85170,4
out_strength,0,21,0.191048,1763,81510,3
out_strength,0,22,0.199217,1658,78570,4
out_strength,0,23,0.207302,1584,76320,12
out_strength,0,24,0.215301,1562,74880,5
out_strength,0,25,0.223215,1491,72996,8
out_strength,0,26,0.231044,1429,71292,9
out_strength,0,27,0.238788,1325,67500,5
out_strength,0,28,0.246447,1299,65564,2
out_strength,0,29,0.254021,1280,64092,0
out_strength,0,30,0.26151,1212,60501,7
out_strength,0,31,0.268913,1183,59368,5
out_strength,0,32,0.276232,1156,57693,3
out_strength,0,33,0.28355,1147,56581,8
out_strength,0,34,0.290784,1110,54808,5
out_strength,0,35,0.297932,1033,53198,12
out_strength,0,36,0.304995,1019,52523,4
out_strength,0,37,0.311973,983,51732,16
out_strength,0,38,0.318866,959,50814,19
out_strength,0,39,0.32576,927,49264,8
out_strength,0,40,0.332567,903,48368,6
out_strength,0,41,0.33929,889,47718,11
out_strength,0,42,0.345928,865,47093,9
out_strength,0,43,0.352481,852,46577,7
out_strength,0,44,0.359033,801,45093,8
out_strength,0,45,0.365501,774,43883,22
out_strength,0,46,0.371883,752,43284,15
out_strength,0,47,0.378181,732,42443,10
out_strength,0,48,0.384478,694,41390,16
out_strength,0,49,0.39069,649,39656,14
out_strength,0,50,0.396817,634,38618,7
out_strength,0,51,0.402859,599,37268,37
out_strength,0,52,0.408901,551,35848,10
out_strength,0,53,0.414858,530,34878,25
out_strength,0,54,0.42073,507,34125,11
out_strength,0,55,0.426602,479,32762,22
out_strength,0,56,0.432389,461,31211,24
out_strength,0,57,0.43809,426,30102,14
out_strength,0,58,0.443792,416,29108,41
out_strength,0,59,0.449409,406,28422,33
out_strength,0,60,0.45494,389,27074,20
out_strength,0,61,0.460471,375,26507,14
out_strength,0,62,0.465918,368,25758,19
out_strength,0,63,0.471279,348,24106,33
out_strength,0,64,0.47664,337,23571,19
out_strength,0,65,0.481916,330,22787,23
out_strength,0,66,0.487107,324,22342,38
out_strength,0,67,0.492299,313,21653,34
out_strength,0,68,0.497404,300,20905,30
out_strength,0,69,0.50251,285,20000,25
in_strength,0,0,0,10647,237405,
in_strength,0,1,0.0100417,10611,237405,7
in_strength,0,2,0.0199983,10212,232824,0
in_strength,0,3,0.0298698,9865,220625,6
in_strength,0,4,0.0395711,9240,206850,3
in_strength,0,5,0.0491873,8774,198360,1
in_strength,0,6,0.0587184,8420,189115,0
in_strength,0,7,0.0681644,8087,184257,3
in_strength,0,8,0.0775253,7742,175422,0
in_strength,0,9,0.0868011,7205,166355,0
in_strength,0,10,0.0959918,6850,162239,1
in_strength,0,11,0.105097,6429,157094,1
in_strength,0,12,0.114118,6121,152874,7
in_strength,0,13,0.123053,5767,146540,2
in_strength,0,14,0.131904,5455,142380,3
in_strength,0,15,0.140669,5286,141024,3
in_strength,0,16,0.149264,5107,138990,1
in_strength,0,17,0.157774,4837,135261,0
in_strength,0,18,0.166199,4674,132441,1
in_strength,0,19,0.174538,4424,128016,1
in_strength,0,20,0.182793,4295,126336,0
in_strength,0,21,0.191048,4094,122978,2
in_strength,0,22,0.199217,3882,118883,5
in_strength,0,23,0.207302,3699,115852,0
in_strength,0,24,0.215301,3638,114823,3
in_strength,0,25,0.223215,3513,113178,2
in_strength,0,26,0.231044,3402,110855,2
in_strength,0,27,0.238788,3262,108542,4
in_strength,0,28,0.246447,3122,105618,2
in_strength,0,29,0.254021,2973,103042,1
in_strength,0,30,0.26151,2847,100466,0
in_strength,0,31,0.268913,2744,97586,5
in_strength,0,32,0.276232,2649,95383,0
in_strength,0,33,0.28355,2528,93494,0
in_strength,0,34,0.290784,2445,92249,1
in_strength,0,35,0.297932,2343,89713,0
in_strength,0,36,0.304995,2252,88166,5
in_strength,0,37,0.311973,2158,86270,5
in_strength,0,38,0.318866,2090,84690,3
in_strength,0,39,0.32576,2009,82847,3
in_strength,0,40,0.332567,1938,81587,22
