null_index,seed,strategy,trials,auc_flow,auc_reachability,intact_flow,intact_pairs
28,20360943,betweenness,1,0.345296,0.504903,12361,236741
28,20360943,pagerank,1,0.57655,0.63944,12361,236741
28,20360943,sm_betweenness,1,0.345165,0.366706,12361,236741
29,20360944,random,30,0.575518,0.585744,12386,237405
29,20360944,out_strength,1,0.199866,0.358665,12386,237405
29,20360944,in_strength,1,0.604957,0.645664,12386,237405
29,20360944,betweenness,1,0.342303,0.484459,12386,237405
29,20360944,pagerank,1,0.588204,0.639389,12386,237405
29,20360944,sm_betweenness,1,0.344461,0.371462,12386,237405
30,20360945,random,30,0.574941,0.586276,12314,237405
30,20360945,out_strength,1,0.202649,0.358886,12314,237405
30,20360945,in_strength,1,0.594204,0.645484,12314,237405
30,20360945,betweenness,1,0.348812,0.503349,12314,237405
30,20360945,pagerank,1,0.589525,0.64737,12314,237405
30,20360945,sm_betweenness,1,0.358926,0.379665,12314,237405
31,20360946,random,30,0.575344,0.586172,12358,237405
31,20360946,out_strength,1,0.200749,0.351621,12358,237405
31,20360946,in_strength,1,0.580202,0.626105,12358,237405
31,20360946,betweenness,1,0.34812,0.499103,12358,237405
31,20360946,pagerank,1,0.593959,0.644688,12358,237405
31,20360946,sm_betweenness,1,0.365313,0.379791,12358,237405
32,20360947,random,30,0.574478,0.585781,12362,237405
32,20360947,out_strength,1,0.203719,0.359484,12362,237405
32,20360947,in_strength,1,0.608518,0.662823,12362,237405
32,20360947,betweenness,1,0.348379,0.514107,12362,237405
32,20360947,pagerank,1,0.603812,0.664665,12362,237405
32,20360947,sm_betweenness,1,0.343751,0.364102,12362,237405
33,20360948,random,30,0.574668,0.586152,12377,237405
33,20360948,out_strength,1,0.203612,0.358358,12377,237405
33,20360948,in_strength,1,0.580977,0.620428,12377,237405
33,20360948,betweenness,1,0.345408,0.498587,12377,237405
33,20360948,pagerank,1,0.587523,0.626943,12377,237405
33,20360948,sm_betweenness,1,0.359277,0.365901,12377,237405
34,20360949,random,30,0.574924,0.585702,12315,237405
34,20360949,out_strength,1,0.202086,0.358358,12315,237405
34,20360949,in_strength,1,0.596321,0.636141,12315,237405
34,20360949,betweenness,1,0.341213,0.497159,12315,237405
34,20360949,pagerank,1,0.578804,0.632702,12315,237405
34,20360949,sm_betweenness,1,0.349002,0.363113,12315,237405
35,20360950,random,30,0.575485,0.585689,12452,237405
35,20360950,out_strength,1,0.200343,0.358953,12452,237405
35,20360950,in_strength,1,0.583132,0.634299,12452,237405
35,20360950,betweenness,1,0.345787,0.505363,12452,237405
35,20360950,pagerank,1,0.586526,0.644001,12452,237405
35,20360950,sm_betweenness,1,0.355842,0.374299,12452,237405
36,20360951,random,30,0.5753,0.586125,12336,237405
36,20360951,out_strength,1,0.201772,0.357253,12336,237405
36,20360951,in_strength,1,0.582045,0.610667,12336,237405
36,20360951,betweenness,1,0.349025,0.497214,12336,237405
36,20360951,pagerank,1,0.583403,0.63141,12336,237405
36,20360951,sm_betweenness,1,0.357197,0.358854,12336,237405
37,20360952,random,30,0.574332,0.585683,12417,237405
37,20360952,out_strength,1,0.203493,0.359772,12417,237405
37,20360952,in_strength,1,0.591825,0.632598,12417,237405
37,20360952,betweenness,1,0.340846,0.492651,12417,237405
37,20360952,pagerank,1,0.588785,0.634174,12417,237405
37,20360952,sm_betweenness,1,0.355494,0.386566,12417,237405
38,20360953,random,30,0.575834,0.586142,12334,236740
38,20360953,out_strength,1,0.200875,0.354298,12334,236740
38,20360953,in_strength,1,0.598125,0.642806,12334,236740
38,20360953,betweenness,1,0.344973,0.501616,12334,236740
38,20360953,pagerank,1,0.590779,0.633103,12334,236740
38,20360953,sm_betweenness,1,0.353864,0.367649,12334,236740
39,20360954,random,30,0.575151,0.585871,12437,237405
39,20360954,out_strength,1,0.202896,0.361054,12437,237405
39,20360954,in_strength,1,0.597692,0.635663,12437,237405
39,20360954,betweenness,1,0.345928,0.499641,12437,237405
39,20360954,pagerank,1,0.589765,0.638844,12437,237405
39,20360954,sm_betweenness,1,0.344938,0.375907,12437,237405
40,20360955,random,30,0.575326,0.586083,12357,237405
40,20360955,out_strength,1,0.201112,0.357752,12357,237405
40,20360955,in_strength,1,0.580251,0.619919,12357,237405
40,20360955,betweenness,1,0.3449,0.493612,12357,237405
40,20360955,pagerank,1,0.577244,0.623921,12357,237405
40,20360955,sm_betweenness,1,0.349544,0.363405,12357,237405
41,20360956,random,30,0.575353,0.586034,12313,236740
41,20360956,out_strength,1,0.203551,0.365357,12313,236740
41,20360956,in_strength,1,0.597882,0.634592,12313,236740
41,20360956,betweenness,1,0.343733,0.497069,12313,236740
41,20360956,pagerank,1,0.589299,0.645095,12313,236740
41,20360956,sm_betweenness,1,0.356002,0.368332,12313,236740
